Year,Month,Day,Rain(mm),PET(mm)
1999,1,1,0,2.763
1999,1,2,0,2.76
1999,1,3,0,2.867
1999,1,4,0,3.346
1999,1,5,0,2.624
1999,1,6,0,2.501
1999,1,7,0,2.259
1999,1,8,0,2.134
1999,1,9,1.4,1.279
1999,1,10,0,2.87
1999,1,11,0,3.498
1999,1,12,0,3.252
1999,1,13,0,5.008
1999,1,14,0,3.344
1999,1,15,0,2.299
1999,1,16,2.1,2.218
1999,1,17,11.9,2.114
1999,1,18,17.2,2.184
1999,1,19,23.2,2.343
1999,1,20,0.6,2.134
1999,1,21,0,2.934
1999,1,22,0,3.225
1999,1,23,0.8,2.701
1999,1,24,3.6,2.38
1999,1,25,0,3.259
1999,1,26,0,3.151
1999,1,27,11.4,2.941
1999,1,28,0.3,3.129
1999,1,29,0,2.389
1999,1,30,0,4.114
1999,1,31,0,4.483
1999,2,1,0,4.263
1999,2,2,0,4.783
1999,2,3,0,2.986
1999,2,4,0,1.741
1999,2,5,11.4,3.117
1999,2,6,0.2,2.409
1999,2,7,12.9,1.052
1999,2,8,0,2.645
1999,2,9,0,3.143
1999,2,10,0,3.58
1999,2,11,0,4.289
1999,2,12,0,3.902
1999,2,13,0,3.994
1999,2,14,0,4.261
1999,2,15,0,4.409
1999,2,16,0,4.198
1999,2,17,0,2.616
1999,2,18,0,3.935
1999,2,19,36.5,3.615
1999,2,20,0.7,3.052
1999,2,21,0,4.182
1999,2,22,0,4.178
1999,2,23,0,3.957
1999,2,24,0,4.262
1999,2,25,0,4.613
1999,2,26,0,4.437
1999,2,27,0,4.291
1999,2,28,2,3.47
1999,3,1,0,3.759
1999,3,2,0,3.749
1999,3,3,2.6,3.914
1999,3,4,0,3.885
1999,3,5,0,4.373
1999,3,6,0,5.05
1999,3,7,0,5.683
1999,3,8,0,5.7
1999,3,9,0,5.349
1999,3,10,0,5.208
1999,3,11,0,5.653
1999,3,12,0,5.346
1999,3,13,0,5.544
1999,3,14,0,5.064
1999,3,15,0.2,4.08
1999,3,16,0,4.443
1999,3,17,0,5.426
1999,3,18,0,4.671
1999,3,19,0,4.751
1999,3,20,0.7,5.278
1999,3,21,1.2,4.238
1999,3,22,1.7,4.406
1999,3,23,0,5.477
1999,3,24,0,5.553
1999,3,25,5.5,4.758
1999,3,26,0,4.742
1999,3,27,0,5.636
1999,3,28,0,5.051
1999,3,29,0,4.538
1999,3,30,6.1,5.163
1999,3,31,0,5.88
1999,4,1,0,5.073
1999,4,2,0,5.191
1999,4,3,0,5.816
1999,4,4,0,6.46
1999,4,5,0,5.812
1999,4,6,0.8,5.675
1999,4,7,18.2,4.808
1999,4,8,4,4.963
1999,4,9,0,5.983
1999,4,10,0,7.107
1999,4,11,0,7.509
1999,4,12,0,7.191
1999,4,13,0,5.9
1999,4,14,0,6.162
1999,4,15,0,5.665
1999,4,16,0,8.295
1999,4,17,0,8.741
1999,4,18,0,8.959
1999,4,19,0,7.143
1999,4,20,0,8.077
1999,4,21,0,7.755
1999,4,22,0,7.631
1999,4,23,0,6.976
1999,4,24,0,7.365
1999,4,25,0,6.979
1999,4,26,0,7.445
1999,4,27,0,7.45
1999,4,28,0,8.025
1999,4,29,0,8.614
1999,4,30,0,8.886
1999,5,1,0,7.581
1999,5,2,0,9.061
1999,5,3,0,9.983
1999,5,4,0,8.757
1999,5,5,0,8.336
1999,5,6,0,6.438
1999,5,7,0,7.997
1999,5,8,0,8.002
1999,5,9,0,7.485
1999,5,10,0,8.329
1999,5,11,0,8.608
1999,5,12,0,7.474
1999,5,13,0,7.212
1999,5,14,0,8.651
1999,5,15,0,9.491
1999,5,16,0,9.154
1999,5,17,0,9.531
1999,5,18,0,9.403
1999,5,19,0,10.061
1999,5,20,0,9.622
1999,5,21,0,9.999
1999,5,22,0,8.692
1999,5,23,0,7.106
1999,5,24,0,8.965
1999,5,25,0,9.54
1999,5,26,0,8.759
1999,5,27,0,9.009
1999,5,28,0,8.594
1999,5,29,0,8.596
1999,5,30,0,8.823
1999,5,31,0,8.931
1999,6,1,0,9.104
1999,6,2,0,9.134
1999,6,3,0,8.619
1999,6,4,0,8.194
1999,6,5,0,8.932
1999,6,6,0,9.859
1999,6,7,0,9.078
1999,6,8,0,8.29
1999,6,9,0,8.298
1999,6,10,0,7.039
1999,6,11,0,7.396
1999,6,12,0,7.351
1999,6,13,0,7.125
1999,6,14,0,7.082
1999,6,15,0,8.331
1999,6,16,0,9.661
1999,6,17,0,9.415
1999,6,18,0,9.927
1999,6,19,0,10.735
1999,6,20,0,10
1999,6,21,0,9.688
1999,6,22,0,10.161
1999,6,23,0,8.995
1999,6,24,0,8.765
1999,6,25,0,8.214
1999,6,26,0,7.426
1999,6,27,0,7.57
1999,6,28,0,8.963
1999,6,29,0,9.878
1999,6,30,0,10.058
1999,7,1,0,9.448
1999,7,2,0,8.77
1999,7,3,0,8.912
1999,7,4,0,9.449
1999,7,5,0,9.621
1999,7,6,0,8.995
1999,7,7,0,8.848
1999,7,8,0,7.474
1999,7,9,0,9.97
1999,7,10,0,10.12
1999,7,11,0,10.07
1999,7,12,0,9.402
1999,7,13,0,8.139
1999,7,14,0,7.208
1999,7,15,0,6.865
1999,7,16,0,6.51
1999,7,17,0,7.159
1999,7,18,0,8.868
1999,7,19,0,9.084
1999,7,20,0,8.589
1999,7,21,0,8.883
1999,7,22,0,7.317
1999,7,23,0,6.838
1999,7,24,0,6.8
1999,7,25,0,7.743
1999,7,26,0,8.552
1999,7,27,0,8.648
1999,7,28,0,7.714
1999,7,29,0,7.038
1999,7,30,0,7.223
1999,7,31,0,7.79
1999,8,1,0,8.829
1999,8,2,0,9.5
1999,8,3,0,9.218
1999,8,4,0,8.686
1999,8,5,0,8.355
1999,8,6,0,7.545
1999,8,7,0,7.345
1999,8,8,0,7.375
1999,8,9,0,7.455
1999,8,10,0,6.918
1999,8,11,0,6.091
1999,8,12,0,7.43
1999,8,13,0,9.162
1999,8,14,0,9.129
1999,8,15,0,9.525
1999,8,16,0,8.779
1999,8,17,0,7.506
1999,8,18,0,6.709
1999,8,19,0,8.316
1999,8,20,0,9.513
1999,8,21,0,9.426
1999,8,22,0,8.58
1999,8,23,0,8.037
1999,8,24,0,8.932
1999,8,25,0,8.433
1999,8,26,0,8.211
1999,8,27,0,8.061
1999,8,28,0,8.202
1999,8,29,0,7.794
1999,8,30,0,8.11
1999,8,31,0,8.111
1999,9,1,0,7.842
1999,9,2,0,7.741
1999,9,3,0,7.984
1999,9,4,0,8.062
1999,9,5,0,8.159
1999,9,6,0,7.904
1999,9,7,0,7.445
1999,9,8,0,7.604
1999,9,9,0,7.552
1999,9,10,0,7.813
1999,9,11,0,7.475
1999,9,12,0,7.203
1999,9,13,0,7.068
1999,9,14,0,8.089
1999,9,15,0,6.731
1999,9,16,0,7.571
1999,9,17,0,7.429
1999,9,18,0,6.634
1999,9,19,0,7.587
1999,9,20,0,7.318
1999,9,21,0,6.883
1999,9,22,0,7.004
1999,9,23,0,7.296
1999,9,24,0,7.168
1999,9,25,0,6.898
1999,9,26,0,7.078
1999,9,27,0,7.374
1999,9,28,0,6.48
1999,9,29,0,5.537
1999,9,30,0,4.522
1999,10,1,0,6.454
1999,10,2,0,7.253
1999,10,3,0,7.042
1999,10,4,0,6.195
1999,10,5,0,6.126
1999,10,6,0,5.838
1999,10,7,0,5.851
1999,10,8,0,5.825
1999,10,9,0.2,5.143
1999,10,10,0,5.133
1999,10,11,0,5.574
1999,10,12,0,6.276
1999,10,13,0,6.303
1999,10,14,0,5.397
1999,10,15,0,4.998
1999,10,16,0,4.899
1999,10,17,0,5.658
1999,10,18,0,5.424
1999,10,19,0,5.396
1999,10,20,0,5.685
1999,10,21,0,5.883
1999,10,22,0,6.455
1999,10,23,0,6.121
1999,10,24,0.2,5.36
1999,10,25,1.3,4.574
1999,10,26,0,4.833
1999,10,27,0,4.98
1999,10,28,0,5.005
1999,10,29,0,5.069
1999,10,30,0,4.984
1999,10,31,0,4.63
1999,11,1,0,5.052
1999,11,2,0,5.202
1999,11,3,0,4.061
1999,11,4,0,4.69
1999,11,5,0,3.64
1999,11,6,0,3.743
1999,11,7,0,4.371
1999,11,8,0,4.023
1999,11,9,0,4.127
1999,11,10,0,3.412
1999,11,11,0,3.962
1999,11,12,0,4.723
1999,11,13,0,4.305
1999,11,14,0,4.441
1999,11,15,0,4.326
1999,11,16,0,4.749
1999,11,17,0,3.929
1999,11,18,0,3.438
1999,11,19,0,2.94
1999,11,20,0,4.202
1999,11,21,0,5.423
1999,11,22,0,5.265
1999,11,23,0,3.482
1999,11,24,3.4,4.12
1999,11,25,0.1,3.489
1999,11,26,1.8,2.929
1999,11,27,0,3.517
1999,11,28,0,4.204
1999,11,29,0,3.707
1999,11,30,3.8,3.769
1999,12,1,0,2.879
1999,12,2,0,3.411
1999,12,3,0,3.609
1999,12,4,0,4.455
1999,12,5,0,3.744
